name,Timing,Cycle,Ordinance,Children 0-14,Black or African American Children 0-14,American indian and Alaskan Native Children 0-14,Asian Children Ages 0-14,Some other Race,HIspanic or Latino Children 0-14,BIPOC Children 0-14,Organization
City of Longmont,,Previous Project Cycle,Healthy Drinks in Kids' Meals,"15,835",153,100,269,"1,146","5,429","7,097",Boulder County Public Health
City of Golden,,Previous Project Cycle,Healthy Drinks in Kids' Meals,"2,704",5,0,0,22,375,402,Jefferson County Public Health
City of Boulder,,Previous Project Cycle,Sugary Drink Tax,"11,914",65,143,613,257,"2,089","3,167",Boulder County Public Health
City and County of Denver,Q3 FY2024,Current Project Cycle,Healthy Drinks in Kids' Meals,"112,496","12,579","1,226","3,144","5,303","49,660","71,912",Public Health Institute at Denver Health
City of Lafayette,,Previous Project Cycle,Healthy Drinks in Kids' Meals,"5,878",61,0,110,327,"1,722","2,220",Boulder County Public Health
City of Louisville ,Q1 FY2025,Current Project Cycle,Healthy Drinks in Kids' Meals,"4,190",,,,,,755,Boulder County Public Health
Town of Parachute,Q3 FY2026,Current Project Cycle,Healthy Beverage Resolution,1540,,,,,,,Garfield County Public Health Department
