Branch,address,Size
Clifton Branch,"3270 D 1/2 Rd Building A, Clifton, CO 81520",18700
Central Library,"443 N. 6th Street, Grand Junction, CO  81501",45000
Fruita Branch,"324 N. Coulson Street, Fruita, CO 81521",7000
Palisade Branch,"119 W. 3rd Street, Palisade, CO 81526",4100
Orchard Mesa Branch,"230 E Lynwood Street, Grand Junction, CO 81503",3000
Gateway Branch,"42700 Highway 141 ,Gateway, CO 81522",280
De Beque Branch,"730 Minter Avenue, De Beque, CO 81630",1500
Collbran Branch,"111 Main Street, Collbran, CO 81624",1300
970 Studio,"502 Ouray Ave, Grand Junction, CO 81501",1335
