NAME,state,county,block,tract,GEOID20,Pre K (Ages 0-5),Elementary (Ages 6-12),Teenage (Ages 13-18),18 and younger,Young Adult (Ages 19-29),Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,Ages 55+,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - Pre K (Ages 0-5),Pop. Density - Elementary (Ages 6-12),Pop. Density - Teenage (Ages 13-18),Pop. Density - 18 and younger,Pop. Density - Young Adult (Ages 19-29),Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Ages 55+,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - White,Pop. Density - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 2012, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2012,001103,080770011032012,4,3,7,14,5,1,1,1,2,8,6,17,37,14,12,9,2,37,30,7,37,34,0,0,0,0,0,3,3,0,11149.0,0.0,0.0043046289,8595.4,929.2,696.9,1626.2,3252.3,1161.5,232.3,232.3,232.3,464.6,1858.5,1393.8,3949.2,8595.4,3252.3,2787.7,2090.8,464.6,6969.2,1626.2,8595.4,7898.5,0.0,0.0,0.0,0.0,0.0,696.9
"Block 2013, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2013,001103,080770011032013,5,2,0,7,2,4,6,0,1,0,0,1,19,7,6,0,2,19,12,7,19,16,0,0,0,0,0,3,3,0,7746.0,0.0,0.0029907306,6353.0,1671.8,668.7,0.0,2340.6,668.7,1337.5,2006.2,0.0,334.4,0.0,0.0,334.4,6353.0,2340.6,2006.2,0.0,668.7,4012.4,2340.6,6353.0,5349.9,0.0,0.0,0.0,0.0,0.0,1003.1
"Block 2014, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2014,001103,080770011032014,9,18,11,38,28,9,21,28,13,6,5,52,148,34,65,21,20,148,140,8,148,144,0,0,0,0,2,2,2,10,68796.0,0.0,0.026562135599999998,5571.8,338.8,677.7,414.1,1430.6,1054.1,338.8,790.6,1054.1,489.4,225.9,188.2,1957.7,5571.8,1280.0,2447.1,790.6,753.0,5270.7,301.2,5571.8,5421.3,0.0,0.0,0.0,0.0,75.3,75.3
"Block 2015, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2015,001103,080770011032015,3,3,6,12,1,0,9,2,9,0,0,10,33,12,6,1,3,33,16,17,33,18,1,0,0,0,11,3,3,0,8951.0,0.0,0.0034559811,9548.7,868.1,868.1,1736.1,3472.2,289.4,0.0,2604.2,578.7,2604.2,0.0,0.0,2893.5,9548.7,3472.2,1736.1,289.4,868.1,4629.7,4919.0,9548.7,5208.4,289.4,0.0,0.0,0.0,3182.9,868.1
"Block 2016, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2016,001103,080770011032016,3,6,5,14,1,3,9,4,3,0,1,6,35,11,9,0,7,35,28,7,35,23,0,0,0,1,5,6,6,0,9923.0,0.0,0.0038312703,9135.4,783.0,1566.1,1305.1,3654.1,261.0,783.0,2349.1,1044.0,783.0,0.0,261.0,1566.1,9135.4,2871.1,2349.1,0.0,1827.1,7308.3,1827.1,9135.4,6003.2,0.0,0.0,0.0,261.0,1305.1,1566.1
"Block 2017, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2017,001103,080770011032017,2,1,4,7,2,2,4,2,2,1,1,5,21,7,1,0,0,21,14,7,21,11,0,4,0,0,0,6,6,1,83322.0,0.0,0.0321706242,652.8,62.2,31.1,124.3,217.6,62.2,62.2,124.3,62.2,62.2,31.1,31.1,155.4,652.8,217.6,31.1,0.0,0.0,435.2,217.6,652.8,341.9,0.0,124.3,0.0,0.0,0.0,186.5
"Block 2018, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2018,001103,080770011032018,0,2,2,4,9,6,1,0,5,3,0,8,26,4,7,4,1,26,16,10,26,14,0,0,0,0,9,3,3,0,9744.0,0.0,0.0037621584,6910.9,0.0,531.6,531.6,1063.2,2392.2,1594.8,265.8,0.0,1329.0,797.4,0.0,2126.4,6910.9,1063.2,1860.6,1063.2,265.8,4252.9,2658.0,6910.9,3721.3,0.0,0.0,0.0,0.0,2392.2,797.4
"Block 2019, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2019,001103,080770011032019,2,0,0,2,2,4,0,0,2,1,0,3,11,2,6,1,2,11,9,2,11,6,0,2,0,0,0,3,3,0,10261.0,0.0,0.0039617721,2776.5,504.8,0.0,0.0,504.8,504.8,1009.6,0.0,0.0,504.8,252.4,0.0,757.2,2776.5,504.8,1514.5,252.4,504.8,2271.7,504.8,2776.5,1514.5,0.0,504.8,0.0,0.0,0.0,757.2
"Block 2020, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2020,001103,080770011032020,2,3,6,11,0,2,4,0,0,3,2,5,22,11,7,5,1,22,17,5,22,21,0,0,0,0,0,1,1,0,11246.0,0.0,0.0043420806,5066.7,460.6,690.9,1381.8,2533.3,0.0,460.6,921.2,0.0,0.0,690.9,460.6,1151.5,5066.7,2533.3,1612.1,1151.5,230.3,3915.2,1151.5,5066.7,4836.4,0.0,0.0,0.0,0.0,0.0,230.3
"Block 2021, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2021,001103,080770011032021,4,2,1,7,3,0,2,0,2,8,0,10,22,7,7,0,6,22,17,5,22,18,0,1,0,0,3,0,0,0,14543.0,0.0,0.0056150523,3918.0,712.4,356.2,178.1,1246.6,534.3,0.0,356.2,0.0,356.2,1424.7,0.0,1780.9,3918.0,1246.6,1246.6,0.0,1068.6,3027.6,890.5,3918.0,3205.7,0.0,178.1,0.0,0.0,534.3,0.0
