NAME,state,county,block,tract,GEOID20,Pre K (Ages 0-5),Elementary (Ages 6-12),Teenage (Ages 13-18),18 and younger,Young Adult (Ages 19-29),Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,Ages 55+,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - Pre K (Ages 0-5),Pop. Density - Elementary (Ages 6-12),Pop. Density - Teenage (Ages 13-18),Pop. Density - 18 and younger,Pop. Density - Young Adult (Ages 19-29),Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Ages 55+,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - White,Pop. Density - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 2018, Block Group 2, Census Tract 8.02, Mesa County, Colorado",08,077,2018,000802,080770008022018,7,3,5,15,5,9,1,16,4,0,0,20,50,15,21,9,6,50,41,9,50,39,1,0,0,0,6,4,4,0,82779.0,0.0,0.0319609719,1564.4,219.0,93.9,156.4,469.3,156.4,281.6,31.3,500.6,125.2,0.0,0.0,625.8,1564.4,469.3,657.1,281.6,187.7,1282.8,281.6,1564.4,1220.2,31.3,0.0,0.0,0.0,187.7,125.2
"Block 2020, Block Group 2, Census Tract 8.02, Mesa County, Colorado",08,077,2020,000802,080770008022020,0,7,4,11,2,2,13,0,11,1,1,13,41,11,10,2,3,41,27,14,41,33,0,1,0,0,4,3,3,0,15841.0,0.0,0.0061162101,6703.5,0.0,1144.5,654.0,1798.5,327.0,327.0,2125.5,0.0,1798.5,163.5,163.5,2125.5,6703.5,1798.5,1635.0,327.0,490.5,4414.5,2289.0,6703.5,5395.5,0.0,163.5,0.0,0.0,654.0,490.5
"Block 2021, Block Group 2, Census Tract 8.02, Mesa County, Colorado",08,077,2021,000802,080770008022021,5,1,5,11,8,5,1,1,0,1,0,2,27,11,6,5,3,27,22,5,27,17,1,1,0,0,6,2,2,0,7449.0,0.0,0.0028760589,9387.8,1738.5,347.7,1738.5,3824.7,2781.6,1738.5,347.7,347.7,0.0,347.7,0.0,695.4,9387.8,3824.7,2086.2,1738.5,1043.1,7649.4,1738.5,9387.8,5910.9,347.7,347.7,0.0,0.0,2086.2,695.4
"Block 2022, Block Group 2, Census Tract 8.02, Mesa County, Colorado",08,077,2022,000802,080770008022022,2,0,4,6,5,5,1,1,3,0,0,4,21,6,7,3,1,21,15,6,21,17,0,2,0,0,1,1,1,0,13009.0,0.0,0.0050227749,4181.0,398.2,0.0,796.4,1194.6,995.5,995.5,199.1,199.1,597.3,0.0,0.0,796.4,4181.0,1194.6,1393.7,597.3,199.1,2986.4,1194.6,4181.0,3384.6,0.0,398.2,0.0,0.0,199.1,199.1
"Block 2023, Block Group 2, Census Tract 8.02, Mesa County, Colorado",08,077,2023,000802,080770008022023,1,2,1,4,16,5,8,1,2,0,0,2,36,3,14,6,2,36,25,11,36,32,0,1,3,0,0,0,0,0,10726.0,0.0,0.0041413086,8692.9,241.5,482.9,241.5,965.9,3863.5,1207.3,1931.8,241.5,482.9,0.0,0.0,482.9,8692.9,724.4,3380.6,1448.8,482.9,6036.7,2656.2,8692.9,7727.0,0.0,241.5,724.4,0.0,0.0,0.0
"Block 2024, Block Group 2, Census Tract 8.02, Mesa County, Colorado",08,077,2024,000802,080770008022024,0,1,1,2,0,4,1,0,1,3,2,6,13,2,3,0,0,13,9,4,13,8,0,1,0,0,2,2,2,0,15854.0,0.0,0.0061212294,2123.8,0.0,163.4,163.4,326.7,0.0,653.5,163.4,0.0,163.4,490.1,326.7,980.2,2123.8,326.7,490.1,0.0,0.0,1470.3,653.5,2123.8,1306.9,0.0,163.4,0.0,0.0,326.7,326.7
"Block 2025, Block Group 2, Census Tract 8.02, Mesa County, Colorado",08,077,2025,000802,080770008022025,4,0,6,10,0,1,4,2,11,8,3,24,39,10,29,7,10,39,31,8,39,35,0,0,0,0,4,0,0,6,23581.0,0.0,0.0091046241,4283.5,439.3,0.0,659.0,1098.3,0.0,109.8,439.3,219.7,1208.2,878.7,329.5,2636.0,4283.5,1098.3,3185.2,768.8,1098.3,3404.9,878.7,4283.5,3844.2,0.0,0.0,0.0,0.0,439.3,0.0
"Block 1018, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1018,000200,080770002001018,0,2,1,3,10,1,1,0,4,0,0,4,19,3,5,1,0,19,16,3,19,16,0,0,0,0,2,1,1,4,18823.0,0.0,0.0072675603,2614.4,0.0,275.2,137.6,412.8,1376.0,137.6,137.6,0.0,550.4,0.0,0.0,550.4,2614.4,412.8,688.0,137.6,0.0,2201.6,412.8,2614.4,2201.6,0.0,0.0,0.0,0.0,275.2,137.6
"Block 1019, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1019,000200,080770002001019,2,10,2,14,10,18,6,2,0,0,0,1,50,13,15,8,3,50,47,3,50,44,2,0,0,0,0,4,4,0,18894.0,0.0,0.0072949734,6854.0,274.2,1370.8,274.2,1919.1,1370.8,2467.5,822.5,274.2,0.0,0.0,0.0,137.1,6854.0,1782.0,2056.2,1096.6,411.2,6442.8,411.2,6854.0,6031.6,274.2,0.0,0.0,0.0,0.0,548.3
"Block 1020, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1020,000200,080770002001020,0,0,0,0,8,13,2,0,2,0,0,2,25,0,14,5,3,25,24,1,25,21,0,4,0,0,0,0,0,0,17518.0,0.0,0.0067636998,3696.2,0.0,0.0,0.0,0.0,1182.8,1922.0,295.7,0.0,295.7,0.0,0.0,295.7,3696.2,0.0,2069.9,739.2,443.5,3548.4,147.8,3696.2,3104.8,0.0,591.4,0.0,0.0,0.0,0.0
"Block 1022, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1022,000200,080770002001022,1,3,2,6,12,4,3,14,3,1,0,11,42,6,14,3,1,42,35,7,42,31,0,4,0,0,0,7,7,1,17449.0,0.0,0.0067370589,6234.2,148.4,445.3,296.9,890.6,1781.2,593.7,445.3,2078.1,445.3,148.4,0.0,1632.8,6234.2,890.6,2078.1,445.3,148.4,5195.1,1039.0,6234.2,4601.4,0.0,593.7,0.0,0.0,0.0,1039.0
"Block 1023, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1023,000200,080770002001023,3,2,2,7,8,2,1,4,9,0,0,11,31,7,21,4,5,31,28,3,31,27,0,0,0,0,2,2,2,0,16891.0,0.0,0.0065216151,4753.4,460.0,306.7,306.7,1073.4,1226.7,306.7,153.3,613.3,1380.0,0.0,0.0,1686.7,4753.4,1073.4,3220.1,613.3,766.7,4293.4,460.0,4753.4,4140.1,0.0,0.0,0.0,0.0,306.7,306.7
"Block 1024, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1024,000200,080770002001024,3,7,2,12,5,4,6,9,1,1,0,10,38,11,15,4,8,38,31,7,38,28,0,0,0,0,0,10,10,0,15408.0,0.0,0.0059490288,6387.6,504.3,1176.7,336.2,2017.1,840.5,672.4,1008.6,1512.9,168.1,168.1,0.0,1680.9,6387.6,1849.0,2521.4,672.4,1344.8,5210.9,1176.7,6387.6,4706.7,0.0,0.0,0.0,0.0,0.0,1680.9
"Block 1025, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1025,000200,080770002001025,5,3,3,11,6,1,10,1,11,2,0,14,42,11,19,5,4,42,38,4,42,38,4,0,0,0,0,0,0,0,15760.0,0.0,0.006084936,6902.3,821.7,493.0,493.0,1807.7,986.0,164.3,1643.4,164.3,1807.7,328.7,0.0,2300.8,6902.3,1807.7,3122.5,821.7,657.4,6244.9,657.4,6902.3,6244.9,657.4,0.0,0.0,0.0,0.0,0.0
"Block 1026, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1026,000200,080770002001026,7,2,2,11,7,2,6,5,10,3,2,20,46,11,18,10,6,46,40,6,46,36,0,1,0,0,0,9,9,1,15461.0,0.0,0.0059694921,7705.8,1172.6,335.0,335.0,1842.7,1172.6,335.0,1005.1,837.6,1675.2,502.6,335.0,3350.4,7705.8,1842.7,3015.3,1675.2,1005.1,6700.7,1005.1,7705.8,6030.7,0.0,167.5,0.0,0.0,0.0,1507.7
"Block 1027, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1027,000200,080770002001027,3,2,1,6,4,7,14,1,5,3,0,9,40,6,25,16,1,40,39,1,40,34,0,0,0,0,2,4,4,0,15546.0,0.0,0.0060023106,6664.1,499.8,333.2,166.6,999.6,666.4,1166.2,2332.4,166.6,833.0,499.8,0.0,1499.4,6664.1,999.6,4165.1,2665.6,166.6,6497.5,166.6,6664.1,5664.5,0.0,0.0,0.0,0.0,333.2,666.4
"Block 1028, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1028,000200,080770002001028,3,1,2,6,6,10,2,7,5,4,0,15,40,5,19,1,6,40,36,4,40,37,0,0,0,0,0,3,3,0,17195.0,0.0,0.0066389895,6025.0,451.9,150.6,301.3,903.8,903.8,1506.3,301.3,1054.4,753.1,602.5,0.0,2259.4,6025.0,753.1,2861.9,150.6,903.8,5422.5,602.5,6025.0,5573.1,0.0,0.0,0.0,0.0,0.0,451.9
"Block 1029, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1029,000200,080770002001029,2,3,2,7,18,11,5,1,8,0,0,8,49,7,12,4,0,49,46,3,49,43,2,0,0,0,2,2,2,1,18784.0,0.0,0.0072525024,6756.3,275.8,413.7,275.8,965.2,2481.9,1516.7,689.4,137.9,1103.1,0.0,0.0,1103.1,6756.3,965.2,1654.6,551.5,0.0,6342.6,413.7,6756.3,5929.0,275.8,0.0,0.0,0.0,275.8,275.8
"Block 1030, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1030,000200,080770002001030,0,0,5,5,1,6,0,2,2,1,4,9,21,5,8,2,5,21,21,0,21,20,0,0,0,0,1,0,0,0,8188.0,0.0,0.0031613868,6642.7,0.0,0.0,1581.6,1581.6,316.3,1897.9,0.0,632.6,632.6,316.3,1265.3,2846.9,6642.7,1581.6,2530.5,632.6,1581.6,6642.7,0.0,6642.7,6326.3,0.0,0.0,0.0,0.0,316.3,0.0
"Block 1031, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1031,000200,080770002001031,0,1,2,3,0,1,2,0,2,10,1,13,19,3,9,1,3,19,19,0,19,19,0,0,0,0,0,0,0,0,17319.0,0.0,0.0066868659,2841.4,0.0,149.5,299.1,448.6,0.0,149.5,299.1,0.0,299.1,1495.5,149.5,1944.1,2841.4,448.6,1345.9,149.5,448.6,2841.4,0.0,2841.4,2841.4,0.0,0.0,0.0,0.0,0.0,0.0
"Block 1032, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1032,000200,080770002001032,1,0,0,1,5,7,4,0,3,0,0,3,20,1,20,1,2,20,19,1,20,18,0,0,0,0,0,2,2,1,17428.0,0.0,0.0067289508,2972.2,148.6,0.0,0.0,148.6,743.1,1040.3,594.4,0.0,445.8,0.0,0.0,445.8,2972.2,148.6,2972.2,148.6,297.2,2823.6,148.6,2972.2,2675.0,0.0,0.0,0.0,0.0,0.0,297.2
"Block 1033, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1033,000200,080770002001033,0,0,0,0,12,11,1,3,0,0,0,0,27,0,22,5,0,27,27,0,27,26,0,1,0,0,0,0,0,0,16991.0,0.0,0.0065602251,4115.7,0.0,0.0,0.0,0.0,1829.2,1676.8,152.4,457.3,0.0,0.0,0.0,0.0,4115.7,0.0,3353.5,762.2,0.0,4115.7,0.0,4115.7,3963.3,0.0,152.4,0.0,0.0,0.0,0.0
"Block 1034, Block Group 1, Census Tract 2, Mesa County, Colorado",08,077,1034,000200,080770002001034,1,3,2,6,3,12,0,1,0,1,0,1,22,6,16,1,4,22,21,1,22,19,0,0,1,0,0,2,2,0,9114.0,0.0,0.0035189153999999998,6251.9,284.2,852.5,568.4,1705.1,852.5,3410.1,0.0,284.2,0.0,284.2,0.0,284.2,6251.9,1705.1,4546.9,284.2,1136.7,5967.7,284.2,6251.9,5399.4,0.0,0.0,284.2,0.0,0.0,568.4
"Block 2000, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2000,000200,080770002002000,1,2,1,4,11,1,2,5,11,4,3,18,41,4,18,2,0,41,34,7,41,31,0,0,0,0,4,6,6,3,18559.0,0.0,0.0071656299,5721.8,139.6,279.1,139.6,558.2,1535.1,139.6,279.1,697.8,1535.1,558.2,418.7,2512.0,5721.8,558.2,2512.0,279.1,0.0,4744.9,976.9,5721.8,4326.2,0.0,0.0,0.0,0.0,558.2,837.3
"Block 2001, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2001,000200,080770002002001,5,0,5,10,7,1,9,2,11,4,1,18,45,10,26,4,4,45,37,8,45,38,0,0,0,0,5,2,2,0,17246.0,0.0,0.0066586806,6758.1,750.9,0.0,750.9,1501.8,1051.3,150.2,1351.6,300.4,1652.0,600.7,150.2,2703.2,6758.1,1501.8,3904.7,600.7,600.7,5556.7,1201.4,6758.1,5706.8,0.0,0.0,0.0,0.0,750.9,300.4
"Block 2002, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2002,000200,080770002002002,2,5,0,7,15,11,5,6,0,1,0,7,45,7,28,2,17,45,44,1,45,42,0,0,1,0,0,2,2,0,17058.0,0.0,0.0065860938,6832.6,303.7,759.2,0.0,1062.8,2277.5,1670.2,759.2,911.0,0.0,151.8,0.0,1062.8,6832.6,1062.8,4251.4,303.7,2581.2,6680.7,151.8,6832.6,6377.1,0.0,0.0,151.8,0.0,0.0,303.7
"Block 2003, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2003,000200,080770002002003,3,3,1,7,2,22,3,4,4,1,1,10,44,7,28,8,2,44,36,8,44,21,0,0,0,0,4,19,19,0,17347.0,0.0,0.0066976767,6569.4,447.9,447.9,149.3,1045.1,298.6,3284.7,447.9,597.2,597.2,149.3,149.3,1493.1,6569.4,1045.1,4180.6,1194.4,298.6,5375.0,1194.4,6569.4,3135.4,0.0,0.0,0.0,0.0,597.2,2836.8
"Block 2004, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2004,000200,080770002002004,0,0,0,0,4,0,0,3,0,0,0,2,7,0,2,0,0,7,5,2,7,4,0,0,1,0,0,2,2,0,16761.0,0.0,0.0064714221,1081.7,0.0,0.0,0.0,0.0,618.1,0.0,0.0,463.6,0.0,0.0,0.0,309.1,1081.7,0.0,309.1,0.0,0.0,772.6,309.1,1081.7,618.1,0.0,0.0,154.5,0.0,0.0,309.1
"Block 2006, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2006,000200,080770002002006,2,1,4,7,17,7,7,18,4,0,0,5,58,3,35,14,7,58,49,9,58,54,0,0,1,0,0,3,3,0,15831.0,0.0,0.0061123491,9489.0,327.2,163.6,654.4,1145.2,2781.3,1145.2,1145.2,2944.9,654.4,0.0,0.0,818.0,9489.0,490.8,5726.1,2290.4,1145.2,8016.6,1472.4,9489.0,8834.6,0.0,0.0,163.6,0.0,0.0,490.8
"Block 2007, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2007,000200,080770002002007,0,1,0,1,17,10,5,0,1,1,0,2,35,1,13,0,0,35,33,2,35,32,0,0,0,0,2,1,1,1,15688.0,0.0,0.0060571368,5778.3,0.0,165.1,0.0,165.1,2806.6,1650.9,825.5,0.0,165.1,165.1,0.0,330.2,5778.3,165.1,2146.2,0.0,0.0,5448.1,330.2,5778.3,5283.0,0.0,0.0,0.0,0.0,330.2,165.1
"Block 2008, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2008,000200,080770002002008,0,0,0,0,28,8,0,4,3,4,1,12,40,0,29,1,5,40,35,5,40,35,0,0,0,0,0,5,5,0,15666.0,0.0,0.0060486426,6613.1,0.0,0.0,0.0,0.0,4629.1,1322.6,0.0,661.3,496.0,661.3,165.3,1983.9,6613.1,0.0,4794.5,165.3,826.6,5786.4,826.6,6613.1,5786.4,0.0,0.0,0.0,0.0,0.0,826.6
"Block 2009, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2009,000200,080770002002009,5,3,1,9,0,1,6,10,9,8,1,27,44,9,20,2,10,44,43,1,44,40,0,0,0,0,1,3,3,0,17074.0,0.0,0.0065922713999999995,6674.5,758.5,455.1,151.7,1365.2,0.0,151.7,910.2,1516.9,1365.2,1213.5,151.7,4095.7,6674.5,1365.2,3033.9,303.4,1516.9,6522.8,151.7,6674.5,6067.7,0.0,0.0,0.0,0.0,151.7,455.1
"Block 2010, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2010,000200,080770002002010,2,4,2,8,7,15,2,3,6,1,3,13,45,8,26,2,8,45,40,5,45,40,0,1,0,0,1,3,3,0,17868.0,0.0,0.0068988348,6522.8,289.9,579.8,289.9,1159.6,1014.7,2174.3,289.9,434.9,869.7,145.0,434.9,1884.4,6522.8,1159.6,3768.8,289.9,1159.6,5798.1,724.8,6522.8,5798.1,0.0,145.0,0.0,0.0,145.0,434.9
"Block 2011, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2011,000200,080770002002011,5,3,1,9,7,16,6,6,0,0,0,6,44,9,14,3,1,44,39,5,44,39,0,0,0,0,2,3,3,0,16051.0,0.0,0.0061972911,7099.9,806.8,484.1,161.4,1452.2,1129.5,2581.8,968.2,968.2,0.0,0.0,0.0,968.2,7099.9,1452.2,2259.1,484.1,161.4,6293.1,806.8,7099.9,6293.1,0.0,0.0,0.0,0.0,322.7,484.1
"Block 2012, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2012,000200,080770002002012,0,3,1,4,3,5,0,0,2,0,0,2,14,4,21,2,12,14,12,2,14,9,0,0,0,0,2,3,3,0,16032.0,0.0,0.0061899552,2261.7,0.0,484.7,161.6,646.2,484.7,807.8,0.0,0.0,323.1,0.0,0.0,323.1,2261.7,646.2,3392.6,323.1,1938.6,1938.6,323.1,2261.7,1454.0,0.0,0.0,0.0,0.0,323.1,484.7
"Block 2013, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2013,000200,080770002002013,1,0,0,1,1,0,0,1,0,0,0,1,3,1,2,0,0,3,3,0,3,0,0,0,0,0,1,2,2,0,15942.0,0.0,0.0061552062,487.4,162.5,0.0,0.0,162.5,162.5,0.0,0.0,162.5,0.0,0.0,0.0,162.5,487.4,162.5,324.9,0.0,0.0,487.4,0.0,487.4,0.0,0.0,0.0,0.0,0.0,162.5,324.9
"Block 2015, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2015,000200,080770002002015,3,1,1,5,0,0,3,2,4,0,0,6,14,5,15,2,2,14,11,3,14,9,2,1,0,0,0,2,2,0,15947.0,0.0,0.0061571367,2273.8,487.2,162.4,162.4,812.1,0.0,0.0,487.2,324.8,649.7,0.0,0.0,974.5,2273.8,812.1,2436.2,324.8,324.8,1786.5,487.2,2273.8,1461.7,324.8,162.4,0.0,0.0,0.0,324.8
"Block 2016, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2016,000200,080770002002016,2,1,0,3,7,19,8,17,39,16,2,67,111,3,106,2,28,111,100,11,111,90,2,0,3,0,3,13,13,8,16148.0,0.0,0.0062347428,17803.5,320.8,160.4,0.0,481.2,1122.7,3047.4,1283.1,2726.7,6255.3,2566.3,320.8,10746.2,17803.5,481.2,17001.5,320.8,4491.0,16039.2,1764.3,17803.5,14435.2,320.8,0.0,481.2,0.0,481.2,2085.1
"Block 2017, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2017,000200,080770002002017,0,1,0,1,6,5,2,10,11,5,0,20,40,1,38,3,12,40,38,2,40,37,0,0,0,0,1,2,2,0,16081.0,0.0,0.0062088741,6442.4,0.0,161.1,0.0,161.1,966.4,805.3,322.1,1610.6,1771.7,805.3,0.0,3221.2,6442.4,161.1,6120.3,483.2,1932.7,6120.3,322.1,6442.4,5959.2,0.0,0.0,0.0,0.0,161.1,322.1
"Block 2018, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2018,000200,080770002002018,0,4,3,7,5,10,4,4,7,0,0,11,37,7,22,4,3,37,31,6,37,30,1,0,0,0,6,0,0,0,15989.0,0.0,0.0061733529,5993.5,0.0,647.9,486.0,1133.9,809.9,1619.9,647.9,647.9,1133.9,0.0,0.0,1781.9,5993.5,1133.9,3563.7,647.9,486.0,5021.6,971.9,5993.5,4859.6,162.0,0.0,0.0,0.0,971.9,0.0
"Block 2019, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2019,000200,080770002002019,0,0,1,1,38,9,0,10,2,2,1,9,62,1,36,3,12,62,52,10,62,50,0,0,0,0,10,2,2,0,17962.0,0.0,0.0069351282,8940.0,0.0,0.0,144.2,144.2,5479.4,1297.7,0.0,1441.9,288.4,288.4,144.2,1297.7,8940.0,144.2,5191.0,432.6,1730.3,7498.1,1441.9,8940.0,7209.7,0.0,0.0,0.0,0.0,1441.9,288.4
"Block 2020, Block Group 2, Census Tract 2, Mesa County, Colorado",08,077,2020,000200,080770002002020,0,0,0,0,1,2,1,1,1,0,0,2,6,0,1,0,0,6,0,6,6,3,1,0,0,0,1,1,1,0,16960.0,0.0,0.006548256,916.3,0.0,0.0,0.0,0.0,152.7,305.4,152.7,152.7,152.7,0.0,0.0,305.4,916.3,0.0,152.7,0.0,0.0,0.0,916.3,916.3,458.1,152.7,0.0,0.0,0.0,152.7,152.7
"Block 4018, Block Group 4, Census Tract 4, Mesa County, Colorado",08,077,4018,000400,080770004004018,1,3,3,7,0,8,2,7,5,0,4,14,33,7,9,8,1,33,16,17,33,23,0,2,0,0,0,8,8,5,11152.0,0.0,0.0043057872,7664.1,232.2,696.7,696.7,1625.7,0.0,1858.0,464.5,1625.7,1161.2,0.0,929.0,3251.4,7664.1,1625.7,2090.2,1858.0,232.2,3715.9,3948.2,7664.1,5341.6,0.0,464.5,0.0,0.0,0.0,1858.0
"Block 4015, Block Group 4, Census Tract 4, Mesa County, Colorado",08,077,4015,000400,080770004004015,5,5,2,12,1,0,0,6,11,3,7,25,40,12,16,4,9,40,33,7,40,32,0,0,0,0,3,5,5,0,26964.0,0.0,0.0104108004,3842.2,480.3,480.3,192.1,1152.6,96.1,0.0,0.0,576.3,1056.6,288.2,672.4,2401.4,3842.2,1152.6,1536.9,384.2,864.5,3169.8,672.4,3842.2,3073.7,0.0,0.0,0.0,0.0,288.2,480.3
"Block 4016, Block Group 4, Census Tract 4, Mesa County, Colorado",08,077,4016,000400,080770004004016,9,5,11,25,1,9,8,18,7,28,7,60,103,25,48,20,19,103,101,2,103,98,0,3,0,0,0,2,2,0,172542.0,0.0,0.0666184662,1546.1,135.1,75.1,165.1,375.3,15.0,135.1,120.1,270.2,105.1,420.3,105.1,900.7,1546.1,375.3,720.5,300.2,285.2,1516.1,30.0,1546.1,1471.1,0.0,45.0,0.0,0.0,0.0,30.0
"Block 4017, Block Group 4, Census Tract 4, Mesa County, Colorado",08,077,4017,000400,080770004004017,0,0,0,0,0,4,1,1,0,8,0,8,14,0,6,1,2,14,14,0,14,12,0,0,1,0,0,1,1,0,8468.0,0.0,0.0032694948,4282.0,0.0,0.0,0.0,0.0,0.0,1223.4,305.9,305.9,0.0,2446.9,0.0,2446.9,4282.0,0.0,1835.1,305.9,611.7,4282.0,0.0,4282.0,3670.3,0.0,0.0,305.9,0.0,0.0,305.9
"Block 4019, Block Group 4, Census Tract 4, Mesa County, Colorado",08,077,4019,000400,080770004004019,3,2,1,6,1,1,10,0,2,1,2,5,23,6,8,4,3,23,15,8,23,15,2,0,0,0,0,6,6,0,8837.0,0.0,0.0034119657,6741.0,879.3,586.2,293.1,1758.5,293.1,293.1,2930.9,0.0,586.2,293.1,586.2,1465.4,6741.0,1758.5,2344.7,1172.3,879.3,4396.3,2344.7,6741.0,4396.3,586.2,0.0,0.0,0.0,0.0,1758.5
"Block 4018, Block Group 4, Census Tract 11.02, Mesa County, Colorado",08,077,4018,001102,080770011024018,1,3,0,4,1,2,0,0,0,0,0,0,7,4,1,1,0,7,3,4,7,3,1,1,0,0,0,2,2,0,14545.0,0.0,0.0056158245,1246.5,178.1,534.2,0.0,712.3,178.1,356.1,0.0,0.0,0.0,0.0,0.0,0.0,1246.5,712.3,178.1,178.1,0.0,534.2,712.3,1246.5,534.2,178.1,178.1,0.0,0.0,0.0,356.1
"Block 4019, Block Group 4, Census Tract 11.02, Mesa County, Colorado",08,077,4019,001102,080770011024019,2,1,2,5,2,2,0,1,0,1,0,2,11,5,2,2,0,11,6,5,11,4,0,0,0,0,4,3,3,0,38488.0,0.0,0.0148602168,740.2,134.6,67.3,134.6,336.5,134.6,134.6,0.0,67.3,0.0,67.3,0.0,134.6,740.2,336.5,134.6,134.6,0.0,403.8,336.5,740.2,269.2,0.0,0.0,0.0,0.0,269.2,201.9
"Block 4021, Block Group 4, Census Tract 11.02, Mesa County, Colorado",08,077,4021,001102,080770011024021,2,2,0,4,1,3,1,0,2,6,0,8,17,4,2,1,1,17,12,5,17,8,0,0,0,0,2,7,7,0,27210.0,0.0,0.010505781,1618.2,190.4,190.4,0.0,380.7,95.2,285.6,95.2,0.0,190.4,571.1,0.0,761.5,1618.2,380.7,190.4,95.2,95.2,1142.2,475.9,1618.2,761.5,0.0,0.0,0.0,0.0,190.4,666.3
"Block 4022, Block Group 4, Census Tract 11.02, Mesa County, Colorado",08,077,4022,001102,080770011024022,4,4,4,12,1,7,6,5,5,5,7,18,48,12,25,7,11,48,41,7,48,34,3,1,3,0,4,3,3,0,150186.0,0.0,0.0579868146,827.8,69.0,69.0,69.0,206.9,17.2,120.7,103.5,86.2,86.2,86.2,120.7,310.4,827.8,206.9,431.1,120.7,189.7,707.1,120.7,827.8,586.3,51.7,17.2,51.7,0.0,69.0,51.7
"Block 4023, Block Group 4, Census Tract 11.02, Mesa County, Colorado",08,077,4023,001102,080770011024023,4,1,0,5,7,6,0,0,0,6,0,6,24,5,9,0,5,24,22,2,24,19,0,0,3,0,2,0,0,0,10834.0,0.0,0.0041830074,5737.5,956.2,239.1,0.0,1195.3,1673.4,1434.4,0.0,0.0,0.0,1434.4,0.0,1434.4,5737.5,1195.3,2151.6,0.0,1195.3,5259.4,478.1,5737.5,4542.2,0.0,0.0,717.2,0.0,478.1,0.0
"Block 4024, Block Group 4, Census Tract 11.02, Mesa County, Colorado",08,077,4024,001102,080770011024024,0,0,0,0,0,1,0,2,5,4,0,11,12,0,5,0,0,12,11,1,12,12,0,0,0,0,0,0,0,0,6444.0,0.0,0.0024880284,4823.1,0.0,0.0,0.0,0.0,0.0,401.9,0.0,803.8,2009.6,1607.7,0.0,4421.2,4823.1,0.0,2009.6,0.0,0.0,4421.2,401.9,4823.1,4823.1,0.0,0.0,0.0,0.0,0.0,0.0
