NAME,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,state,county,tract,block,GEOID20,18 and younger,Ages 19-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - 18 and younger,Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Total Population Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - Total Population - White,Pop. Density - Total Population - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 3009, Block Group 3, Census Tract 36.03, Denver County, Colorado",52,12,17,6,0,52,37,15,52,18,16,1,0,0,10,7,7,0,08,031,003603,3009,080310036033009,12,14,11,7,2,6,0,0,15864,0,0.0061250904,8489.7,1959.2,1795.9,1142.8,326.5,979.6,0.0,0.0,8489.7,1959.2,2775.5,979.6,0.0,6040.7,2448.9,8489.7,2938.7,2612.2,163.3,0.0,0.0,1632.6,1142.8
"Block 3010, Block Group 3, Census Tract 36.03, Denver County, Colorado",47,3,12,8,2,47,39,8,47,24,19,0,0,0,3,1,1,4,08,031,003603,3010,080310036033010,3,4,11,10,10,6,1,2,16606,0,0.0064115766,7330.5,467.9,1715.6,1559.7,1559.7,935.8,156.0,311.9,7330.5,467.9,1871.6,1247.7,311.9,6082.7,1247.7,7330.5,3743.2,2963.4,0.0,0.0,0.0,467.9,156.0
"Block 3011, Block Group 3, Census Tract 36.03, Denver County, Colorado",45,11,19,2,2,45,42,3,45,23,16,0,0,0,0,6,6,0,08,031,003603,3011,080310036033011,11,7,7,9,7,0,4,0,18021,0,0.0069579081,6467.5,1580.9,1006.0,1293.5,1006.0,0.0,574.9,0.0,6467.5,1580.9,2730.7,287.4,287.4,6036.3,431.2,6467.5,3305.6,2299.5,0.0,0.0,0.0,0.0,862.3
"Block 3012, Block Group 3, Census Tract 36.03, Denver County, Colorado",45,9,20,7,0,45,39,6,45,28,12,0,3,0,0,2,2,1,08,031,003603,3012,080310036033012,9,20,8,1,1,4,2,0,18930,0,0.007308873,6156.9,1231.4,1094.6,136.8,136.8,547.3,273.6,0.0,6156.9,1231.4,2736.4,957.7,0.0,5336.0,820.9,6156.9,3831.0,1641.8,0.0,410.5,0.0,0.0,273.6
"Block 3013, Block Group 3, Census Tract 36.03, Denver County, Colorado",58,6,22,1,0,58,50,8,58,21,32,0,0,0,2,3,3,0,08,031,003603,3013,080310036033013,6,3,4,21,3,5,4,12,17747,0,0.0068521167,8464.5,875.6,583.8,3064.7,437.8,729.7,583.8,1751.3,8464.5,875.6,3210.7,145.9,0.0,7297.0,1167.5,8464.5,3064.7,4670.1,0.0,0.0,0.0,291.9,437.8
"Block 3014, Block Group 3, Census Tract 36.03, Denver County, Colorado",48,9,21,10,2,48,29,19,48,15,14,0,0,0,2,17,17,0,08,031,003603,3014,080310036033014,9,1,18,5,1,4,10,0,18764,0,0.0072447804,6625.5,1242.3,2484.5,690.2,138.0,552.1,1380.3,0.0,6625.5,1242.3,2898.6,1380.3,276.1,4002.9,2622.6,6625.5,2070.5,1932.4,0.0,0.0,0.0,276.1,2346.5
"Block 3015, Block Group 3, Census Tract 36.03, Denver County, Colorado",59,6,27,3,13,59,51,8,59,30,24,0,0,0,2,3,3,4,08,031,003603,3015,080310036033015,7,0,30,2,7,5,5,3,28827,0,0.0111301047,5300.9,628.9,2695.4,179.7,628.9,449.2,449.2,269.5,5300.9,539.1,2425.9,269.5,1168.0,4582.2,718.8,5300.9,2695.4,2156.3,0.0,0.0,0.0,179.7,269.5
"Block 4000, Block Group 4, Census Tract 36.03, Denver County, Colorado",38,1,14,5,0,38,31,7,38,20,3,5,0,0,5,5,5,0,08,031,003603,4000,080310036034000,1,9,8,13,3,2,2,0,15207,0,0.0058714227,6472.0,170.3,1362.5,2214.1,510.9,340.6,340.6,0.0,6472.0,170.3,2384.4,851.6,0.0,5279.8,1192.2,6472.0,3406.3,510.9,851.6,0.0,0.0,851.6,851.6
"Block 4001, Block Group 4, Census Tract 36.03, Denver County, Colorado",32,4,13,5,5,32,25,7,32,14,5,0,1,0,3,9,9,0,08,031,003603,4001,080310036034001,4,12,8,1,1,0,6,0,14870,0,0.005741307,5573.6,696.7,1393.4,174.2,174.2,0.0,1045.1,0.0,5573.6,696.7,2264.3,870.9,870.9,4354.4,1219.2,5573.6,2438.5,870.9,0.0,174.2,0.0,522.5,1567.6
"Block 4002, Block Group 4, Census Tract 36.03, Denver County, Colorado",43,14,17,4,4,43,36,7,43,24,6,0,0,0,6,7,7,0,08,031,003603,4002,080310036034002,14,6,13,3,3,1,3,0,14650,0,0.005656365,7602.1,2475.1,2298.3,530.4,530.4,176.8,530.4,0.0,7602.1,2475.1,3005.5,707.2,707.2,6364.5,1237.5,7602.1,4243.0,1060.8,0.0,0.0,0.0,1060.8,1237.5
