NAME,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,state,county,tract,block,GEOID20,18 and younger,Ages 19-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - 18 and younger,Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Total Population Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - Total Population - White,Pop. Density - Total Population - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 3009, Block Group 3, Census Tract 41.04, Denver County, Colorado",12,6,5,3,2,12,8,4,12,4,2,0,3,0,0,3,3,0,08,031,004104,3009,080310041043009,6,1,2,1,1,0,1,0,8803,0,0.0033988383,3530.6,1765.3,588.4,294.2,294.2,0.0,294.2,0.0,3530.6,1765.3,1471.1,882.7,588.4,2353.7,1176.9,3530.6,1176.9,588.4,0.0,882.7,0.0,0.0,882.7
"Block 3010, Block Group 3, Census Tract 41.04, Denver County, Colorado",26,6,14,4,1,26,26,0,26,8,13,0,2,0,0,3,3,1,08,031,004104,3010,080310041043010,6,4,6,1,3,3,1,2,13311,0,0.0051393771,5059.0,1167.5,1167.5,194.6,583.7,583.7,194.6,389.2,5059.0,1167.5,2724.1,778.3,194.6,5059.0,0.0,5059.0,1556.6,2529.5,0.0,389.2,0.0,0.0,583.7
"Block 3011, Block Group 3, Census Tract 41.04, Denver County, Colorado",39,9,14,6,4,39,31,8,39,34,1,0,0,0,2,2,2,0,08,031,004104,3011,080310041043011,9,2,10,6,6,6,0,0,12891,0,0.0049772151,7835.7,1808.2,2009.2,1205.5,1205.5,1205.5,0.0,0.0,7835.7,1808.2,2812.8,1205.5,803.7,6228.4,1607.3,7835.7,6831.1,200.9,0.0,0.0,0.0,401.8,401.8
"Block 3012, Block Group 3, Census Tract 41.04, Denver County, Colorado",25,4,14,3,5,25,23,2,25,13,8,0,0,0,3,1,1,0,08,031,004104,3012,080310041043012,5,2,11,1,6,0,0,0,13740,0,0.005305014,4712.5,942.5,2073.5,188.5,1131.0,0.0,0.0,0.0,4712.5,754.0,2639.0,565.5,942.5,4335.5,377.0,4712.5,2450.5,1508.0,0.0,0.0,0.0,565.5,188.5
"Block 3013, Block Group 3, Census Tract 41.04, Denver County, Colorado",30,8,14,1,3,30,25,5,30,17,5,0,0,0,2,6,6,0,08,031,004104,3013,080310041043013,8,4,5,11,1,1,0,0,13793,0,0.0053254773,5633.3,1502.2,938.9,2065.5,187.8,187.8,0.0,0.0,5633.3,1502.2,2628.9,187.8,563.3,4694.4,938.9,5633.3,3192.2,938.9,0.0,0.0,0.0,375.6,1126.7
"Block 3014, Block Group 3, Census Tract 41.04, Denver County, Colorado",28,2,14,5,2,28,23,5,28,16,6,2,0,0,1,3,3,0,08,031,004104,3014,080310041043014,2,2,9,7,0,7,1,0,12997,0,0.0050181417,5579.8,398.6,1793.5,1394.9,0.0,1394.9,199.3,0.0,5579.8,398.6,2789.9,996.4,398.6,4583.4,996.4,5579.8,3188.4,1195.7,398.6,0.0,0.0,199.3,597.8
"Block 3015, Block Group 3, Census Tract 41.04, Denver County, Colorado",29,7,14,1,10,29,26,3,29,14,10,0,0,0,0,5,5,0,08,031,004104,3015,080310041043015,8,2,12,0,6,0,0,1,13371,0,0.0051625431,5617.4,1549.6,2324.4,0.0,1162.2,0.0,0.0,193.7,5617.4,1355.9,2711.8,193.7,1937.0,5036.3,581.1,5617.4,2711.8,1937.0,0.0,0.0,0.0,0.0,968.5
"Block 3016, Block Group 3, Census Tract 41.04, Denver County, Colorado",35,0,14,2,1,35,35,0,35,23,10,2,0,0,0,0,0,1,08,031,004104,3016,080310041043016,1,16,10,2,4,1,1,0,13878,0,0.0053582958,6531.9,186.6,1866.3,373.3,746.5,186.6,186.6,0.0,6531.9,0.0,2612.8,373.3,186.6,6531.9,0.0,6531.9,4292.4,1866.3,373.3,0.0,0.0,0.0,0.0
"Block 3017, Block Group 3, Census Tract 41.04, Denver County, Colorado",37,12,14,6,2,37,34,3,37,17,11,0,1,0,0,8,8,0,08,031,004104,3017,080310041043017,12,5,11,5,0,2,0,2,13815,0,0.0053339715,6936.7,2249.7,2062.3,937.4,0.0,375.0,0.0,375.0,6936.7,2249.7,2624.7,1124.9,375.0,6374.2,562.4,6936.7,3187.1,2062.3,0.0,187.5,0.0,0.0,1499.8
"Block 3018, Block Group 3, Census Tract 41.04, Denver County, Colorado",46,2,14,1,2,46,37,9,46,30,11,0,0,0,5,0,0,1,08,031,004104,3018,080310041043018,7,4,13,9,11,1,1,0,13289,0,0.0051308829,8965.3,1364.3,2533.7,1754.1,2143.9,194.9,194.9,0.0,8965.3,389.8,2728.6,194.9,389.8,7211.2,1754.1,8965.3,5846.9,2143.9,0.0,0.0,0.0,974.5,0.0
"Block 3019, Block Group 3, Census Tract 41.04, Denver County, Colorado",37,3,13,4,0,37,29,8,37,22,11,0,1,0,0,3,3,0,08,031,004104,3019,080310041043019,3,12,4,5,7,3,3,0,12919,0,0.0049880259,7417.8,601.4,801.9,1002.4,1403.4,601.4,601.4,0.0,7417.8,601.4,2606.2,801.9,0.0,5813.9,1603.8,7417.8,4410.6,2205.3,0.0,200.5,0.0,0.0,601.4
"Block 3020, Block Group 3, Census Tract 41.04, Denver County, Colorado",44,5,14,4,0,44,29,15,44,16,10,1,0,0,8,9,9,0,08,031,004104,3020,080310041043020,5,5,8,16,6,0,4,0,13712,0,0.0052942032,8311.0,944.4,1511.1,3022.2,1133.3,0.0,755.5,0.0,8311.0,944.4,2644.4,755.5,0.0,5477.7,2833.3,8311.0,3022.2,1888.9,188.9,0.0,0.0,1511.1,1700.0
"Block 3021, Block Group 3, Census Tract 41.04, Denver County, Colorado",33,13,18,6,1,33,26,7,33,10,9,0,0,0,0,14,14,0,08,031,004104,3021,080310041043021,13,3,13,2,3,0,0,0,13755,0,0.0053108055,6213.7,2447.8,2447.8,376.6,564.9,0.0,0.0,0.0,6213.7,2447.8,3389.3,1129.8,188.3,4895.7,1318.1,6213.7,1883.0,1694.7,0.0,0.0,0.0,0.0,2636.1
"Block 3022, Block Group 3, Census Tract 41.04, Denver County, Colorado",28,2,17,8,3,28,26,2,28,16,6,0,0,0,0,6,6,0,08,031,004104,3022,080310041043022,2,3,16,4,0,3,0,0,12922,0,0.0049891842,5612.1,400.9,3206.9,801.7,0.0,601.3,0.0,0.0,5612.1,400.9,3407.4,1603.5,601.3,5211.3,400.9,5612.1,3206.9,1202.6,0.0,0.0,0.0,0.0,1202.6
"Block 3023, Block Group 3, Census Tract 41.04, Denver County, Colorado",30,7,14,5,4,30,28,2,30,19,7,0,3,0,0,1,1,0,08,031,004104,3023,080310041043023,7,2,5,4,5,5,2,0,13354,0,0.0051559794,5818.5,1357.6,969.7,775.8,969.7,969.7,387.9,0.0,5818.5,1357.6,2715.3,969.7,775.8,5430.6,387.9,5818.5,3685.0,1357.6,0.0,581.8,0.0,0.0,193.9
"Block 3024, Block Group 3, Census Tract 41.04, Denver County, Colorado",13,3,5,2,3,13,10,3,13,9,2,0,0,0,0,2,2,0,08,031,004104,3024,080310041043024,3,0,1,1,3,2,2,1,8148,0,0.0031459428,4132.3,953.6,317.9,317.9,953.6,635.7,635.7,317.9,4132.3,953.6,1589.3,635.7,953.6,3178.7,953.6,4132.3,2860.8,635.7,0.0,0.0,0.0,0.0,635.7
"Block 4000, Block Group 4, Census Tract 41.04, Denver County, Colorado",37,14,16,1,7,37,33,4,37,30,3,0,0,0,1,3,3,0,08,031,004104,4000,080310041044000,14,1,5,3,5,5,4,0,20527,0,0.0079254747,4668.5,1766.5,630.9,378.5,630.9,630.9,504.7,0.0,4668.5,1766.5,2018.8,126.2,883.2,4163.8,504.7,4668.5,3785.3,378.5,0.0,0.0,0.0,126.2,378.5
"Block 4001, Block Group 4, Census Tract 41.04, Denver County, Colorado",42,12,17,4,2,42,39,3,42,30,0,0,5,0,0,7,7,0,08,031,004104,4001,080310041044001,12,2,4,15,2,1,4,2,20409,0,0.0078799149,5330.0,1522.9,507.6,1903.6,253.8,126.9,507.6,253.8,5330.0,1522.9,2157.4,507.6,253.8,4949.3,380.7,5330.0,3807.1,0.0,0.0,634.5,0.0,0.0,888.3
"Block 4002, Block Group 4, Census Tract 41.04, Denver County, Colorado",51,19,19,2,16,51,47,4,51,33,9,1,0,0,0,8,8,1,08,031,004104,4002,080310041044002,19,1,17,9,1,1,1,2,20322,0,0.0078463242,6499.9,2421.5,2166.6,1147.0,127.4,127.4,127.4,254.9,6499.9,2421.5,2421.5,254.9,2039.2,5990.1,509.8,6499.9,4205.8,1147.0,127.4,0.0,0.0,0.0,1019.6
"Block 4003, Block Group 4, Census Tract 41.04, Denver County, Colorado",45,5,21,3,5,45,44,1,45,33,8,0,2,0,1,1,1,0,08,031,004104,4003,080310041044003,5,3,9,9,4,1,8,6,21326,0,0.0082339686,5465.2,607.2,1093.0,1093.0,485.8,121.4,971.6,728.7,5465.2,607.2,2550.4,364.3,607.2,5343.7,121.4,5465.2,4007.8,971.6,0.0,242.9,0.0,121.4,121.4
"Block 1032, Block Group 1, Census Tract 44.07, Denver County, Colorado",82,34,18,7,9,82,79,3,82,60,0,0,2,2,4,14,14,1,08,031,004407,1032,080310044071032,35,7,1,7,9,7,16,1,14144,0,0.0054609984,15015.6,6409.1,183.1,1281.8,1648.1,1281.8,2929.9,183.1,15015.6,6226.0,3296.1,1281.8,1648.1,14466.2,549.4,15015.6,10987.0,0.0,0.0,366.2,366.2,732.5,2563.6
"Block 1033, Block Group 1, Census Tract 44.07, Denver County, Colorado",24,5,5,0,1,24,15,9,24,11,2,3,0,1,4,3,3,0,08,031,004407,1033,080310044071033,5,5,3,8,1,0,2,0,42491,0,0.0164057751,1462.9,304.8,182.9,487.6,61.0,0.0,121.9,0.0,1462.9,304.8,304.8,0.0,61.0,914.3,548.6,1462.9,670.5,121.9,182.9,0.0,61.0,243.8,182.9
"Block 1034, Block Group 1, Census Tract 44.07, Denver County, Colorado",94,33,21,8,4,94,88,6,94,72,0,1,0,0,4,17,17,0,08,031,004407,1034,080310044071034,36,16,6,10,15,7,1,3,17935,0,0.0069247035,13574.6,5198.8,866.5,1444.1,2166.2,1010.9,144.4,433.2,13574.6,4765.5,3032.6,1155.3,577.6,12708.1,866.5,13574.6,10397.6,0.0,144.4,0.0,0.0,577.6,2455.0
"Block 4030, Block Group 4, Census Tract 15, Denver County, Colorado",5,0,1,0,0,5,2,3,5,0,0,0,0,1,0,4,4,0,08,031,001500,4030,080310015004030,1,1,2,0,0,1,0,0,22759,0,0.0087872499,569.0,113.8,227.6,0.0,0.0,113.8,0.0,0.0,569.0,0.0,113.8,0.0,0.0,227.6,341.4,569.0,0.0,0.0,0.0,0.0,113.8,0.0,455.2
"Block 1003, Block Group 1, Census Tract 16.01, Denver County, Colorado",7,0,4,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,08,031,001601,1003,080310016011003,0,0,7,0,0,0,0,0,15362,0,0.0059312682,1180.2,0.0,1180.2,0.0,0.0,0.0,0.0,0.0,1180.2,0.0,674.4,0.0,0.0,1180.2,0.0,1180.2,1180.2,0.0,0.0,0.0,0.0,0.0,0.0
"Block 1005, Block Group 1, Census Tract 16.01, Denver County, Colorado",36,8,14,0,1,36,27,9,36,7,17,0,0,0,2,10,10,0,08,031,001601,1005,080310016011005,8,16,3,6,2,1,0,0,15364,0,0.0059320404,6068.7,1348.6,505.7,1011.5,337.2,168.6,0.0,0.0,6068.7,1348.6,2360.1,0.0,168.6,4551.6,1517.2,6068.7,1180.0,2865.8,0.0,0.0,0.0,337.2,1685.8
"Block 1006, Block Group 1, Census Tract 16.01, Denver County, Colorado",71,5,27,3,1,71,57,14,71,46,3,2,13,0,2,5,5,0,08,031,001601,1006,080310016011006,5,26,28,10,1,2,1,0,15325,0,0.0059169825,11999.4,845.0,4732.1,1690.1,169.0,338.0,169.0,0.0,11999.4,845.0,4563.1,507.0,169.0,9633.3,2366.1,11999.4,7774.2,507.0,338.0,2197.1,0.0,338.0,845.0
"Block 1007, Block Group 1, Census Tract 16.01, Denver County, Colorado",105,3,83,9,12,105,82,23,105,72,3,0,2,0,14,14,14,0,08,031,001601,1007,080310016011007,3,27,63,11,0,0,0,1,15410,0,0.005949801,17647.6,504.2,10588.6,1848.8,0.0,0.0,0.0,168.1,17647.6,504.2,13950.0,1512.7,2016.9,13782.0,3865.7,17647.6,12101.2,504.2,0.0,336.1,0.0,2353.0,2353.0
"Block 1008, Block Group 1, Census Tract 16.01, Denver County, Colorado",14,4,8,1,2,14,2,12,14,2,0,0,0,0,7,5,5,0,08,031,001601,1008,080310016011008,6,6,1,0,1,0,0,0,9281,0,0.0035833940999999998,3906.9,1674.4,279.1,0.0,279.1,0.0,0.0,0.0,3906.9,1116.3,2232.5,279.1,558.1,558.1,3348.8,3906.9,558.1,0.0,0.0,0.0,0.0,1953.5,1395.3
"Block 1009, Block Group 1, Census Tract 16.01, Denver County, Colorado",3,2,6,3,0,3,0,3,3,0,0,0,0,0,3,0,0,0,08,031,001601,1009,080310016011009,2,0,0,0,0,0,1,0,15578,0,0.0060146658,498.8,332.5,0.0,0.0,0.0,0.0,166.3,0.0,498.8,332.5,997.6,498.8,0.0,0.0,498.8,498.8,0.0,0.0,0.0,0.0,0.0,498.8,0.0
"Block 1010, Block Group 1, Census Tract 16.01, Denver County, Colorado",15,7,1,0,0,15,15,0,15,8,0,0,0,0,0,7,7,0,08,031,001601,1010,080310016011010,7,4,3,0,1,0,0,0,15384,0,0.0059397624,2525.4,1178.5,505.1,0.0,168.4,0.0,0.0,0.0,2525.4,1178.5,168.4,0.0,0.0,2525.4,0.0,2525.4,1346.9,0.0,0.0,0.0,0.0,0.0,1178.5
"Block 1013, Block Group 1, Census Tract 16.01, Denver County, Colorado",37,2,26,3,2,37,29,8,37,27,1,1,0,0,4,4,4,1,08,031,001601,1013,080310016011013,2,7,8,13,2,2,3,0,15727,0,0.0060721947,6093.3,329.4,1317.5,2140.9,329.4,329.4,494.1,0.0,6093.3,329.4,4281.8,494.1,329.4,4775.9,1317.5,6093.3,4446.5,164.7,164.7,0.0,0.0,658.7,658.7
"Block 1014, Block Group 1, Census Tract 16.01, Denver County, Colorado",29,3,13,4,1,29,26,3,29,24,0,1,0,0,2,2,2,0,08,031,001601,1014,080310016011014,3,2,11,2,6,3,2,0,15493,0,0.0059818473,4848.0,501.5,1838.9,334.3,1003.0,501.5,334.3,0.0,4848.0,501.5,2173.2,668.7,167.2,4346.5,501.5,4848.0,4012.1,0.0,167.2,0.0,0.0,334.3,334.3
"Block 1015, Block Group 1, Census Tract 16.01, Denver County, Colorado",18,0,8,3,3,18,11,7,18,11,4,1,2,0,0,0,0,0,08,031,001601,1015,080310016011015,0,7,2,6,2,1,0,0,15597,0,0.0060220017,2989.0,0.0,332.1,996.3,332.1,166.1,0.0,0.0,2989.0,0.0,1328.5,498.2,498.2,1826.6,1162.4,2989.0,1826.6,664.2,166.1,332.1,0.0,0.0,0.0
"Block 4020, Block Group 4, Census Tract 9.02, Denver County, Colorado",85,27,20,7,4,85,12,73,85,25,1,5,4,0,36,14,14,0,08,031,000902,4020,080310009024020,28,11,13,13,16,3,1,0,18722,0,0.0072285642,11758.9,3873.5,1798.4,1798.4,2213.4,415.0,138.3,0.0,11758.9,3735.2,2766.8,968.4,553.4,1660.1,10098.8,11758.9,3458.5,138.3,691.7,553.4,0.0,4980.2,1936.8
"Block 2004, Block Group 2, Census Tract 19.01, Denver County, Colorado",134,52,71,6,16,134,69,65,134,67,26,0,2,0,20,19,19,3,08,031,001901,2004,080310019012004,52,28,29,4,5,11,2,3,21677,0,0.0083694897,16010.5,6213.0,3465.0,477.9,597.4,1314.3,239.0,358.4,16010.5,6213.0,8483.2,716.9,1911.7,8244.2,7766.3,16010.5,8005.3,3106.5,0.0,239.0,0.0,2389.6,2270.2
"Block 2002, Block Group 2, Census Tract 19.01, Denver County, Colorado",51,14,18,8,2,51,20,31,51,16,0,0,6,0,9,20,20,0,08,031,001901,2002,080310019012002,14,6,11,13,4,2,0,1,18363,0,0.0070899542999999995,7193.3,1974.6,1551.5,1833.6,564.2,282.1,0.0,141.0,7193.3,1974.6,2538.8,1128.4,282.1,2820.9,4372.4,7193.3,2256.7,0.0,0.0,846.3,0.0,1269.4,2820.9
"Block 2003, Block Group 2, Census Tract 19.01, Denver County, Colorado",69,11,30,8,2,69,50,19,69,47,4,0,0,0,10,8,8,0,08,031,001901,2003,080310019012003,11,23,20,4,1,3,5,2,20921,0,0.0080775981,8542.1,1361.8,2476.0,495.2,123.8,371.4,619.0,247.6,8542.1,1361.8,3714.0,990.4,247.6,6190.0,2352.2,8542.1,5818.6,495.2,0.0,0.0,0.0,1238.0,990.4
"Block 2005, Block Group 2, Census Tract 19.01, Denver County, Colorado",84,12,42,4,5,84,67,17,84,64,2,0,0,0,5,13,13,0,08,031,001901,2005,080310019012005,13,13,22,20,10,4,2,0,19143,0,0.0073911123,11365.0,1758.9,2976.5,2706.0,1353.0,541.2,270.6,0.0,11365.0,1623.6,5682.5,541.2,676.5,9064.9,2300.1,11365.0,8659.0,270.6,0.0,0.0,0.0,676.5,1758.9
"Block 2006, Block Group 2, Census Tract 19.01, Denver County, Colorado",102,10,41,9,7,102,62,40,102,52,10,8,0,0,18,14,14,1,08,031,001901,2006,080310019012006,10,30,31,11,9,5,4,3,19004,0,0.0073374443999999995,13901.3,1362.9,4224.9,1499.2,1226.6,681.4,545.1,408.9,13901.3,1362.9,5587.8,1226.6,954.0,8449.8,5451.5,13901.3,7086.9,1362.9,1090.3,0.0,0.0,2453.2,1908.0
"Block 2007, Block Group 2, Census Tract 19.01, Denver County, Colorado",83,13,38,5,8,83,53,30,83,46,2,1,0,0,22,12,12,1,08,031,001901,2007,080310019012007,13,6,24,14,6,5,10,5,21564,0,0.0083258604,9968.9,1561.4,2882.6,1681.5,720.6,600.5,1201.1,600.5,9968.9,1561.4,4564.1,600.5,960.9,6365.7,3603.2,9968.9,5525.0,240.2,120.1,0.0,0.0,2642.4,1441.3
"Block 2009, Block Group 2, Census Tract 19.01, Denver County, Colorado",79,11,43,11,2,79,45,34,79,41,2,2,3,0,16,15,15,1,08,031,001901,2009,080310019012009,11,23,18,17,7,3,1,1,18844,0,0.0072756684,10858.1,1511.9,2474.0,2336.6,962.1,412.3,137.4,137.4,10858.1,1511.9,5910.1,1511.9,274.9,6185.0,4673.1,10858.1,5635.2,274.9,274.9,412.3,0.0,2199.1,2061.7
"Block 2010, Block Group 2, Census Tract 19.01, Denver County, Colorado",64,4,31,10,8,64,38,26,64,43,0,0,0,2,13,6,6,0,08,031,001901,2010,080310019012010,5,25,12,0,14,5,3,0,18915,0,0.0073030815,8763.4,684.6,1643.1,0.0,1917.0,684.6,410.8,0.0,8763.4,547.7,4244.8,1369.3,1095.4,5203.3,3560.1,8763.4,5887.9,0.0,0.0,0.0,273.9,1780.1,821.6
"Block 2011, Block Group 2, Census Tract 19.01, Denver County, Colorado",77,11,32,5,5,77,50,27,77,44,1,0,1,0,19,12,12,0,08,031,001901,2011,080310019012011,11,4,13,23,13,5,4,4,21607,0,0.008342462699999999,9229.9,1318.6,1558.3,2757.0,1558.3,599.3,479.5,479.5,9229.9,1318.6,3835.8,599.3,599.3,5993.4,3236.5,9229.9,5274.2,119.9,0.0,119.9,0.0,2277.5,1438.4
"Block 2012, Block Group 2, Census Tract 19.01, Denver County, Colorado",142,43,40,16,7,142,87,55,142,75,29,1,3,0,22,12,12,0,08,031,001901,2012,080310019012012,43,30,35,15,14,5,0,0,21545,0,0.0083185245,17070.3,5169.2,4207.5,1803.2,1683.0,601.1,0.0,0.0,17070.3,5169.2,4808.5,1923.4,841.5,10458.6,6611.7,17070.3,9016.0,3486.2,120.2,360.6,0.0,2644.7,1442.6
"Block 2013, Block Group 2, Census Tract 19.01, Denver County, Colorado",84,17,33,5,3,84,39,45,84,56,0,2,2,0,13,11,11,0,08,031,001901,2013,080310019012013,20,19,20,5,10,2,4,4,18899,0,0.0072969039,11511.7,2740.9,2740.9,685.2,1370.4,274.1,548.2,548.2,11511.7,2329.8,4522.5,685.2,411.1,5344.7,6167.0,11511.7,7674.5,0.0,274.1,274.1,0.0,1781.6,1507.5
"Block 2014, Block Group 2, Census Tract 19.01, Denver County, Colorado",88,5,40,7,7,88,46,42,88,49,2,0,4,0,20,13,13,0,08,031,001901,2014,080310019012014,10,26,28,2,6,7,4,5,19051,0,0.0073555911,11963.7,1359.5,3806.6,271.9,815.7,951.7,543.8,679.8,11963.7,679.8,5438.0,951.7,951.7,6253.7,5709.9,11963.7,6661.6,271.9,0.0,543.8,0.0,2719.0,1767.4
"Block 2015, Block Group 2, Census Tract 19.01, Denver County, Colorado",62,12,18,0,1,62,42,20,62,44,1,3,0,0,0,14,14,0,08,031,001901,2015,080310019012015,12,6,28,1,12,3,0,0,21405,0,0.0082644705,7502.0,1452.0,3388.0,121.0,1452.0,363.0,0.0,0.0,7502.0,1452.0,2178.0,0.0,121.0,5082.0,2420.0,7502.0,5324.0,121.0,363.0,0.0,0.0,0.0,1694.0
"Block 2016, Block Group 2, Census Tract 19.01, Denver County, Colorado",34,6,19,7,5,34,23,11,34,19,2,2,5,0,0,6,6,0,08,031,001901,2016,080310019012016,6,7,6,6,2,4,1,2,21345,0,0.0082413045,4125.6,728.0,728.0,728.0,242.7,485.4,121.3,242.7,4125.6,728.0,2305.5,849.4,606.7,2790.8,1334.7,4125.6,2305.5,242.7,242.7,606.7,0.0,0.0,728.0
"Block 2017, Block Group 2, Census Tract 19.01, Denver County, Colorado",147,15,12,7,3,147,104,43,147,72,33,16,1,0,10,15,15,0,08,031,001901,2017,080310019012017,16,23,46,25,28,9,0,0,18753,0,0.0072405333,20302.4,2209.8,6353.1,3452.8,3867.1,1243.0,0.0,0.0,20302.4,2071.7,1657.3,966.8,414.3,14363.6,5938.8,20302.4,9944.0,4557.7,2209.8,138.1,0.0,1381.1,2071.7
"Block 2018, Block Group 2, Census Tract 19.01, Denver County, Colorado",35,6,8,2,1,35,12,23,35,9,1,1,0,0,8,16,16,0,08,031,001901,2018,080310019012018,6,9,6,5,1,5,3,0,18679,0,0.0072119619,4853.0,832.0,832.0,693.3,138.7,693.3,416.0,0.0,4853.0,832.0,1109.3,277.3,138.7,1663.9,3189.1,4853.0,1247.9,138.7,138.7,0.0,0.0,1109.3,2218.5
"Block 2019, Block Group 2, Census Tract 19.01, Denver County, Colorado",14,3,3,2,0,14,7,7,14,6,3,0,0,0,0,5,5,0,08,031,001901,2019,080310019012019,3,4,4,1,0,2,0,0,20230,0,0.007810803,1792.4,384.1,512.1,128.0,0.0,256.1,0.0,0.0,1792.4,384.1,384.1,256.1,0.0,896.2,896.2,1792.4,768.2,384.1,0.0,0.0,0.0,0.0,640.1
"Block 3000, Block Group 3, Census Tract 19.01, Denver County, Colorado",203,36,117,30,15,203,124,79,203,88,26,7,8,0,50,24,24,1,08,031,001901,3000,080310019013000,38,54,65,21,20,4,2,0,18992,0,0.0073328112,27683.8,5182.2,8864.3,2863.8,2727.5,545.5,272.7,0.0,27683.8,4909.4,15955.7,4091.2,2045.6,16910.3,10773.5,27683.8,12000.9,3545.7,954.6,1091.0,0.0,6818.7,3273.0
"Block 3001, Block Group 3, Census Tract 19.01, Denver County, Colorado",325,75,160,21,39,325,167,158,325,122,70,10,9,0,80,34,34,3,08,031,001901,3001,080310019013001,79,95,33,31,20,29,36,5,18102,0,0.0069891822,46500.4,11303.2,4721.6,4435.4,2861.6,4149.3,5150.8,715.4,46500.4,10730.9,22892.5,3004.6,5580.1,23894.1,22606.4,46500.4,17455.5,10015.5,1430.8,1287.7,0.0,11446.3,4864.7
"Block 3002, Block Group 3, Census Tract 19.01, Denver County, Colorado",131,7,112,12,37,131,87,44,131,48,33,0,4,0,19,27,27,7,08,031,001901,3002,080310019013002,8,4,16,18,15,46,20,4,11437,0,0.0044158257,29666.0,1811.7,3623.3,4076.2,3396.9,10417.1,4529.2,905.8,29666.0,1585.2,25363.3,2717.5,8379.0,19701.9,9964.2,29666.0,10870.0,7473.1,0.0,905.8,0.0,4302.7,6114.4
"Block 3003, Block Group 3, Census Tract 19.01, Denver County, Colorado",197,61,87,30,15,197,83,114,197,91,23,6,1,0,40,36,36,1,08,031,001901,3003,080310019013003,66,43,38,10,16,19,4,1,39130,0,0.015108093,13039.4,4368.5,2515.2,661.9,1059.0,1257.6,264.8,66.2,13039.4,4037.6,5758.5,1985.7,992.8,5493.7,7545.6,13039.4,6023.3,1522.4,397.1,66.2,0.0,2647.6,2382.8
"Block 3004, Block Group 3, Census Tract 19.01, Denver County, Colorado",225,61,103,36,21,225,99,126,225,85,49,4,2,0,45,40,40,11,08,031,001901,3004,080310019013004,62,33,48,27,16,33,4,2,19013,0,0.0073409193,30650.1,8445.8,6538.7,3678.0,2179.6,4495.3,544.9,272.4,30650.1,8309.6,14030.9,4904.0,2860.7,13486.0,17164.1,30650.1,11578.9,6674.9,544.9,272.4,0.0,6130.0,5448.9
"Block 3005, Block Group 3, Census Tract 19.01, Denver County, Colorado",37,8,14,7,0,37,22,15,37,10,4,2,1,0,12,8,8,0,08,031,001901,3005,080310019013005,9,6,12,4,2,4,0,0,20445,0,0.0078938145,4687.2,1140.1,1520.2,506.7,253.4,506.7,0.0,0.0,4687.2,1013.5,1773.5,886.8,0.0,2787.0,1900.2,4687.2,1266.8,506.7,253.4,126.7,0.0,1520.2,1013.5
"Block 3006, Block Group 3, Census Tract 19.01, Denver County, Colorado",20,5,2,1,0,20,9,11,20,12,2,3,0,2,0,1,1,0,08,031,001901,3006,080310019013006,5,0,3,3,3,1,2,3,38414,0,0.0148316454,1348.5,337.1,202.3,202.3,202.3,67.4,134.8,202.3,1348.5,337.1,134.8,67.4,0.0,606.8,741.7,1348.5,809.1,134.8,202.3,0.0,134.8,0.0,67.4
"Block 1007, Block Group 1, Census Tract 20, Denver County, Colorado",734,0,0,0,0,734,511,223,734,467,243,7,0,3,9,5,5,1,08,031,002000,1007,080310020001007,4,256,275,125,64,12,0,0,35275,0,0.0136196775,53892.6,293.7,20191.4,9177.9,4699.1,881.1,0.0,0.0,53892.6,0.0,0.0,0.0,0.0,37519.2,16373.4,53892.6,34288.6,17841.8,514.0,0.0,220.3,660.8,367.1
"Block 1010, Block Group 1, Census Tract 20, Denver County, Colorado",125,13,83,0,20,125,98,27,125,61,37,6,4,0,1,16,16,0,08,031,002000,1010,080310020001010,14,3,25,19,23,33,7,1,21324,0,0.0082331964,15182.4,1700.4,3036.5,2307.7,2793.6,4008.2,850.2,121.5,15182.4,1579.0,10081.1,0.0,2429.2,11903.0,3279.4,15182.4,7409.0,4494.0,728.8,485.8,0.0,121.5,1943.4
